model,task,precision,perturbation_mode,h,A_uniform,p_active,V_norm,V_align,p_clip,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,disp_rms,relative_disp,locality_proxy
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,0.003,0.0038526641940731586,0.09679990497862019,0.9960009848742656,0.9980736298523786,0.008626315921082244,1.186460703658323,0.0,0.9032000950213798,0.006479582906153885,0.0903203220724663,0.0009484635433486841,0.04530283464290765,898.899175532471
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,0.01,0.007264177674888726,0.09902478057562952,0.982594369280304,0.996459644432819,0.011317546447950789,3.869901352804381,0.0,0.9009752194243705,0.0019491885674276712,0.09707559200820184,0.003116186666919998,0.14884292630740692,9426.338904314807
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,0.03,0.055431873127895374,0.09953989647670726,0.8815206921380988,0.9765258103763191,0.029463504288464906,10.043019054287214,0.0,0.9004601035232928,0.0006488960016003601,0.0988910004751069,0.008465300933280639,0.40434039987331133,57039.340862456906
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,0.1,0.36700321544122855,0.0999974994373734,0.5015587810988421,0.8818315859538626,0.07286014353229477,18.896905553749594,0.0,0.9000025005626265,0.00017879022780125528,0.09981870920957216,0.01644240863503182,0.7853625210453873,73061.45725116346
facebook/opt-1.3b,trec,int8,dense,1e-07,4774.858760612735,0.0008351879172813884,69.11115589989593,0.025747503745908517,0.008211847665724787,0.0008351879172813884,0.0,0.9991648120827186,0.0008351879172813884,0.0,9.776215711267654e-06,0.0004669555165370594,9137.83597250099
facebook/opt-1.3b,trec,int8,dense,1e-06,216.36280109340387,0.004405366207396664,14.74621401238696,0.07263691532933478,0.00821434822835138,0.004405366207396664,0.0,0.9955946337926034,0.004405366207396664,0.0,2.0857172430712622e-05,0.000996231263050051,1893.5091823718255
facebook/opt-1.3b,trec,int8,dense,1e-05,18.487276265638368,0.03989897726988573,4.414429137881159,0.22654202533271944,0.008234352729364108,0.03989897726988573,0.0,0.9601010227301143,0.03989897726988573,0.0,6.238273314493842e-05,0.0029796766191558448,1513.8705897559985
facebook/opt-1.3b,trec,int8,dense,0.0001,1.030062653475021,0.3594177439923983,1.419137272332388,0.6989762101600048,0.008308744467505189,0.3951857918031557,0.0,0.6405822560076017,0.3322916406191393,0.027126103373258985,0.00019676184194418873,0.009398220155262735,1498.1994968173767
facebook/opt-1.3b,trec,int8,dense,0.001,0.013854810111125965,0.9022592583331249,1.0023665829673811,0.9930916859812146,0.009188942512065215,3.955811932684854,4.0,0.09774074166687505,0.18591120502112976,0.7163480533119952,0.0010197670862177608,0.048708608786472936,10809.69134689895
facebook/opt-1.3b,trec,int8,dense,0.003,0.0038359258808789275,0.9674145432722363,0.9960599242940703,0.9980822517823151,0.012105848815983596,11.851665999849967,11.0,0.032585456727763744,0.06498399639918982,0.9024305468730465,0.0029957462398677577,0.14309015616739224,89450.8960962389
facebook/opt-1.3b,trec,int8,dense,0.01,0.007060946010969995,0.9901071491085495,0.9827529318787965,0.9965586982726777,0.0393094696306669,38.62287827261134,37.0,0.009892850891450576,0.019600035007876774,0.9705071141006727,0.009860273887110504,0.470970508644345,944857.453972651
facebook/opt-1.3b,trec,int8,dense,0.03,0.05543884610359128,0.9967592708359381,0.8815951383976258,0.9765090435538623,0.22081843414768323,100.60986847040584,110.0,0.003240729164061914,0.006584606536470706,0.9901746642994674,0.02677721115866946,1.2789986265960862,5709886.212780593
facebook/opt-1.3b,trec,int8,dense,0.1,0.3664526211066613,0.9989772698857243,0.5024458835540673,0.881686804100834,0.654834212697857,188.74290715410967,254.0,0.001022730114275712,0.0019966992573329,0.9969805706283914,0.05196247267775405,2.4819586623705145,7287306.567789756
facebook/opt-1.3b,trec,int8,sparse_p0p1,1e-07,4426.680548854096,7.876772273761597e-05,65.83803456652996,0.025972218294320896,0.008211847665724787,7.876772273761597e-05,0.0,0.9999212322772624,7.876772273761597e-05,0.0,2.983024190788176e-06,0.00014248249455529023,85.49572720491648
facebook/opt-1.3b,trec,int8,sparse_p0p1,1e-06,217.12593167548835,0.0004513515540996724,14.755286776622983,0.07313389104916937,0.008212472806381436,0.0004513515540996724,0.0,0.9995486484459003,0.0004513515540996724,0.0,6.603885758538863e-06,0.00031543093734890467,19.224572270109114
facebook/opt-1.3b,trec,int8,sparse_p0p1,1e-05,18.75739657595202,0.004027156110124778,4.442842512941388,0.22375814082281947,0.008213097947038084,0.004027156110124778,0.0,0.9959728438898752,0.004027156110124778,0.0,1.990401745641811e-05,0.0009507043448122937,15.727377317714675
facebook/opt-1.3b,trec,int8,sparse_p0p1,0.0001,1.0344689573634733,0.03585744292465805,1.4181477320845126,0.6969092994366721,0.008219974494261208,0.0393369758195594,0.0,0.9641425570753419,0.03319121802405541,0.0026662249006026355,6.211379636340594e-05,0.0029668310030764476,14.880758821801832
facebook/opt-1.3b,trec,int8,sparse_p0p1,0.001,0.013942415202167885,0.09001400315070891,1.001814893203129,0.9930429360089102,0.008312495311445076,0.3949401115250931,0.0,0.909985996849291,0.01849103548298367,0.07152296766772524,0.0003224781192735562,0.015402988355067426,108.10060489333397
facebook/opt-1.3b,trec,int8,sparse_p0p1,0.003,0.0038526641940731586,0.09679990497862019,0.9960009848742656,0.9980736298523786,0.008626315921082244,1.186460703658323,0.0,0.9032000950213798,0.006479582906153885,0.0903203220724663,0.0009484635433486841,0.04530283464290765,898.899175532471
facebook/opt-1.3b,trec,int8,sparse_p0p1,0.01,0.007264177674888726,0.09902478057562952,0.982594369280304,0.996459644432819,0.011317546447950789,3.869901352804381,0.0,0.9009752194243705,0.0019491885674276712,0.09707559200820184,0.003116186666919998,0.14884292630740692,9426.338904314807
facebook/opt-1.3b,trec,int8,sparse_p0p1,0.03,0.055431873127895374,0.09953989647670726,0.8815206921380988,0.9765258103763191,0.029463504288464906,10.043019054287214,0.0,0.9004601035232928,0.0006488960016003601,0.0988910004751069,0.008465300933280639,0.40434039987331133,57039.340862456906
facebook/opt-1.3b,trec,int8,sparse_p0p1,0.1,0.36700321544122855,0.0999974994373734,0.5015587810988421,0.8818315859538626,0.07286014353229477,18.896905553749594,0.0,0.9000025005626265,0.00017879022780125528,0.09981870920957216,0.01644240863503182,0.7853625210453873,73061.45725116346
